CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7639201,683983,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7640405,684344,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7644614,686128,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7646589,686939,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7650579,687362,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7651434,681975,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7656806,676358,901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7667343,664325,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7668712,663739,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7668826,668694,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7668838,676151,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7668991,664266,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7669198,671505,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7671482,664257,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7674672,687423,8001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7680300,676177,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7684412,673154,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/1/2016,7689904,692800,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7632865,660599,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7641911,681877,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7643016,682892,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7643111,698114,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7644414,683727,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7644962,695288,3402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7646542,697738,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7652293,692158,2501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7654106,676928,901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7654449,685538,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7657097,672734,902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7658934,676556,801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7661193,684938,1801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7663334,695772,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7663773,689880,2801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7664912,661393,21601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7670630,671247,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7671255,689465,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7678611,675519,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7683646,682027,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/2/2016,7691290,676736,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7633024,710651,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7639338,686536,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7642459,679333,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7643896,683937,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7659854,673679,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7667423,670119,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7682630,674138,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7684755,693991,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/3/2016,7692075,671927,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7631014,705472,4002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7642032,682169,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7642634,684312,5000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7643092,696539,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7648420,682695,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7664141,699847,7400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7665802,697989,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7670371,667090,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7672509,662713,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,8/4/2016,7673534,684145,8100
