CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7625927,713553,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7642574,682513,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7643288,687090,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7644358,685609,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7645136,684827,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7645266,684907,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7646889,702493,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7647991,688328,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7648543,681026,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7664493,697849,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7666397,664479,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7668209,669805,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7668951,673031,702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7669412,694208,2901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7676214,689545,8001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7677518,690811,8001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/1/2016,7679890,673556,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7623253,712819,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7636341,667189,6602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7638250,663195,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7642000,678938,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7643288,686573,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7649520,687244,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7649540,688022,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7652056,682656,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7674659,681774,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7675092,696653,7700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7681253,671969,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/2/2016,7689823,682996,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7640997,684446,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7649371,682560,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7651825,683603,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7668959,669697,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7673516,686414,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7678904,676498,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7689338,681703,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/3/2016,7693474,681052,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/4/2016,7643018,682698,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/4/2016,7646967,684215,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/4/2016,7648168,680077,1102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/4/2016,7650289,686955,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,10/4/2016,7657609,679779,1302
