CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7624094,709457,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7632217,709528,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7640018,707679,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7640806,699080,3803
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7643288,686573,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7643580,705398,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7645954,685086,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7649772,686973,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7669243,669586,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7669702,664629,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7670268,683719,1702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7674315,696774,7700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7678210,676513,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7684468,676064,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/1/2016,7687183,693902,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7632029,709793,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7632590,710068,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7644308,683033,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7644511,683462,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7646642,686073,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7652136,681253,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7660124,685130,1900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7667054,674360,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7669930,662907,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7671510,686302,1702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7677315,684521,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,9/2/2016,7680993,679091,9201
