mountain,base_depth,region,new_snow,day,year_total
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,70 in.,Oregon,5 in.,"Jan  2, 2010",5 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,72 in.,Oregon,1 in.,"Jan  3, 2010",6 in.
Mt. Bachelor,88 in.,Oregon,3 in.,"Jan  1, 2009",3 in.
Mt. Bachelor,55 in.,Oregon,1 in.,"Jan 12, 2010",7 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,89 in.,Oregon,6 in.,"Jan  2, 2009",9 in.
Mt. Bachelor,58 in.,Oregon,6 in.,"Jan 13, 2010",13 in.
Mt. Bachelor,83 in.,Oregon,1 in.,"Jan  8, 2011",1 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,93 in.,Oregon,3 in.,"Jan  3, 2009",12 in.
Mt. Bachelor,61 in.,Oregon,2 in.,"Jan 14, 2010",15 in.
Mt. Bachelor,85 in.,Oregon,2 in.,"Jan  9, 2011",3 in.
Mt. Bachelor,39 in.,Oregon,1 in.,"Jan  5, 2012",1 in.
Mt. Bachelor,93 in.,Oregon,6 in.,"Jan  5, 2009",18 in.
Mt. Bachelor,64 in.,Oregon,4 in.,"Jan 16, 2010",19 in.
Mt. Bachelor,88 in.,Oregon,6 in.,"Jan 10, 2011",9 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,38 in.,Oregon,1 in.,"Jan  7, 2012",2 in.
Mt. Bachelor,99 in.,Oregon,2 in.,"Jan  6, 2009",20 in.
Mt. Bachelor,62 in.,Oregon,2 in.,"Jan 17, 2010",21 in.
Mt. Bachelor,86 in.,Oregon,1 in.,"Jan 12, 2011",10 in.
Mt. Bachelor,87 in.,Oregon,2 in.,"Jan  4, 2013",2 in.
Mt. Bachelor,39 in.,Oregon,2 in.,"Jan 15, 2012",4 in.
Mt. Bachelor,97 in.,Oregon,3 in.,"Jan  8, 2009",23 in.
Mt. Bachelor,65 in.,Oregon,4 in.,"Jan 18, 2010",25 in.
Mt. Bachelor,87 in.,Oregon,2 in.,"Jan 13, 2011",12 in.
Mt. Bachelor,85 in.,Oregon,4 in.,"Jan  5, 2013",6 in.
Mt. Bachelor,44 in.,Oregon,6 in.,"Jan 16, 2012",10 in.
Mt. Bachelor,98 in.,Oregon,5 in.,"Jan  9, 2009",28 in.
Mt. Bachelor,66 in.,Oregon,1 in.,"Jan 19, 2010",26 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,1 in.,"Jan 14, 2011",13 in.
Mt. Bachelor,86 in.,Oregon,4 in.,"Jan  6, 2013",10 in.
Mt. Bachelor,48 in.,Oregon,4 in.,"Jan 17, 2012",14 in.
Mt. Bachelor,88 in.,Oregon,1 in.,"Jan 26, 2009",29 in.
Mt. Bachelor,67 in.,Oregon,3 in.,"Jan 21, 2010",29 in.
Mt. Bachelor,85 in.,Oregon,3 in.,"Jan  3, 2016",3 in.
Mt. Bachelor,8 in.,Oregon,3 in.,"Jan  4, 2016",6 in.
Mt. Bachelor,26 in.,Oregon,10 in.,"Jan  6, 2014",10 in.
Mt. Bachelor,77 in.,Oregon,5 in.,"Jan 19, 2011",18 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,5 in.,"Jan  7, 2013",15 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,67 in.,Oregon,16 in.,"Jan 18, 2012",30 in.
Mt. Bachelor,92 in.,Oregon,2 in.,"Feb  6, 2009",31 in.
Mt. Bachelor,69 in.,Oregon,2 in.,"Jan 22, 2010",31 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,87 in.,Oregon,1 in.,"Jan  6, 2016",7 in.
Mt. Bachelor,86 in.,Oregon,3 in.,"Jan  7, 2016",10 in.
Mt. Bachelor,26 in.,Oregon,1 in.,"Jan  7, 2014",11 in.
Mt. Bachelor,71 in.,Oregon,1 in.,"Feb  5, 2011",19 in.
Cooper Spur,0 in.,Oregon,4 in.,"Dec 20, 2010",4 in.
Cooper Spur,0 in.,Oregon,1 in.,"Dec 21, 2010",5 in.
Mt. Bachelor,85 in.,Oregon,7 in.,"Jan  8, 2013",22 in.
Cooper Spur,24 in.,Oregon,8 in.,"Jan  2, 2009",8 in.
Cooper Spur,24 in.,Oregon,6 in.,"Jan  3, 2009",14 in.
Mt. Bachelor,91 in.,Oregon,35 in.,"Jan 19, 2012",65 in.
Mt. Bachelor,94 in.,Oregon,3 in.,"Feb  7, 2009",34 in.
Mt. Bachelor,68 in.,Oregon,2 in.,"Jan 23, 2010",33 in.
Mt. Bachelor,44 in.,Oregon,1 in.,"Jan 11, 2015",1 in.
Mt. Bachelor,85 in.,Oregon,2 in.,"Jan  9, 2016",12 in.
Mt. Bachelor,30 in.,Oregon,21 in.,"Jan  8, 2014",32 in.
Mt. Bachelor,74 in.,Oregon,4 in.,"Feb  8, 2011",23 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 29, 2010",11 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 30, 2010",17 in.
Mt. Bachelor,84 in.,Oregon,7 in.,"Jan  9, 2013",29 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Cooper Spur,29 in.,Oregon,3 in.,"Jan  5, 2009",17 in.
Cooper Spur,8 in.,Oregon,1 in.,"Jan  9, 2009",18 in.
Mt. Bachelor,96 in.,Oregon,19 in.,"Jan 20, 2012",84 in.
Mt. Bachelor,59 in.,Oregon,2 in.,"Feb  9, 2009",36 in.
Mt. Bachelor,79 in.,Oregon,4 in.,"Jan 26, 2010",37 in.
Mt. Bachelor,45 in.,Oregon,1 in.,"Jan 12, 2015",2 in.
Mt. Bachelor,85 in.,Oregon,1 in.,"Jan 11, 2016",13 in.
Mt. Bachelor,85 in.,Oregon,6 in.,"Jan 12, 2016",19 in.
Cooper Spur,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,39 in.,Oregon,14 in.,"Jan  9, 2014",46 in.
Mt. Bachelor,76 in.,Oregon,3 in.,"Feb 13, 2011",26 in.
Cooper Spur,0 in.,Oregon,6 in.,"Dec 31, 2010",23 in.
Mt. Bachelor,89 in.,Oregon,4 in.,"Jan 10, 2013",33 in.
